Tracker;Operation;Occurrences
0;CLEAR; 452020
0;SUBLIST; 187131
0;CONTAINS; 66896
0;EMPTY; 2367705
0;ADD_ALL; 125289
0;CSTR_CAP; 2784762
0;SORT; 12189
0;CSTR_STD; 2105301
0;GROW; 2579132
0;REMOVE_OBJ; 6
0;ITERATOR; 5867649
0;GET_INDEXED; 29244898
0;ADD_INDEXED; 11575
0;REMOVE_INDEXED; 696727
0;CSTR_COLL; 28169
0;INDEX_OF; 134820
0;SIZE; 25801426
0;SET_INDEXED; 4772958
0;TO_ARRAY; 85772
0;CREATE_LIST_ITR; 243164
0;ENSURE_CAP; 20080813
0;REMOVE_ALL; 39378
0;ADD_OBJ; 19943949
1;CLEAR;0
1;EMPTY;1
1;SORT;1
1;CSTR_STD;1
1;GROW;1
1;REMOVE_OBJ;0
1;GET_INDEXED;1
1;SET_INDEXED;0
1;SIZE;1
1;ENSURE_CAP;2
1;ADD_OBJ;2
2;CLEAR;0
2;GROW;0
2;REMOVE_OBJ;6
2;GET_INDEXED;25
2;CSTR_COLL;1
2;SET_INDEXED;0
2;SIZE;28
2;ADD_OBJ;0
3;CLEAR;0
3;CSTR_STD;91
3;GROW;1
3;REMOVE_OBJ;0
3;ITERATOR;79
3;SET_INDEXED;0
3;SIZE;91
3;ENSURE_CAP;2
3;ADD_OBJ;2
4;CLEAR;0
4;ADD_ALL;1
4;CSTR_STD;18016
4;GROW;29201
4;REMOVE_OBJ;0
4;ITERATOR;59965
4;ADD_INDEXED;2239
4;SET_INDEXED;0
4;SIZE;17839
4;TO_ARRAY;1
4;CREATE_LIST_ITR;2239
4;ENSURE_CAP;89654
4;ADD_OBJ;87414
5;CLEAR;0
5;CSTR_STD;1
5;GROW;0
5;REMOVE_OBJ;0
5;SET_INDEXED;0
5;SIZE;4458
5;ADD_OBJ;0
6;CLEAR;0
6;SORT;307
6;CSTR_STD;307
6;GROW;404
6;REMOVE_OBJ;0
6;ITERATOR;307
6;GET_INDEXED;24
6;INDEX_OF;24
6;SET_INDEXED;0
6;SIZE;637
6;ENSURE_CAP;711
6;ADD_OBJ;711
7;CLEAR;0
7;SORT;227
7;CSTR_STD;227
7;GROW;238
7;REMOVE_OBJ;0
7;ITERATOR;227
7;GET_INDEXED;794
7;SET_INDEXED;0
7;SIZE;1531
7;ENSURE_CAP;397
7;ADD_OBJ;397
8;CLEAR;0
8;SORT;227
8;CSTR_STD;227
8;GROW;107
8;REMOVE_OBJ;0
8;ITERATOR;227
8;SET_INDEXED;0
8;SIZE;453
8;ENSURE_CAP;108
8;ADD_OBJ;108
9;CLEAR;0
9;CSTR_CAP;81996
9;GROW;20
9;REMOVE_OBJ;0
9;GET_INDEXED;889436
